x P0 P1 P2 P3 P4 P5
-0.29 1 -0.29 -0.37385 0.3740275 0.0905685437499999 -0.3464987798375
-0.28 1 -0.28 -0.3824 0.36512 0.1078912 -0.3464731648
-0.27 1 -0.27 -0.39065 0.3557925 0.12487554375 -0.3453235142625
-0.26 1 -0.26 -0.3986 0.34606 0.1414927 -0.3430665836
-0.25 1 -0.25 -0.40625 0.3359375 0.15771484375 -0.3397216796875
-0.24 1 -0.24 -0.4136 0.32544 0.1735152 -0.3353105664
-0.23 1 -0.23 -0.42065 0.3145825 0.18886804375 -0.3298573701125
-0.22 1 -0.22 -0.4274 0.30338 0.2037487 -0.3233884852
-0.21 1 -0.21 -0.43385 0.2918475 0.21813354375 -0.3159324795375
-0.2 1 -0.2 -0.44 0.28 0.232 -0.30752
-0.19 1 -0.19 -0.44585 0.2678525 0.24532654375 -0.2981836779625
-0.18 1 -0.18 -0.4514 0.25542 0.2580927 -0.2879580348
-0.17 1 -0.17 -0.45665 0.2427175 0.27027904375 -0.2768793873875
-0.16 1 -0.16 -0.4616 0.22976 0.2818672 -0.2649857536
-0.15 1 -0.15 -0.46625 0.2165625 0.29283984375 -0.2523167578125
-0.14 1 -0.14 -0.4706 0.20314 0.3031807 -0.2389135364
-0.13 1 -0.13 -0.47465 0.1895075 0.31287454375 -0.2248186432375
-0.12 1 -0.12 -0.4784 0.17568 0.3219072 -0.2100759552
-0.11 1 -0.11 -0.48185 0.1616725 0.33026554375 -0.1947305776625
-0.1 1 -0.1 -0.485 0.1475 0.3379375 -0.17882875
-0.09 1 -0.09 -0.48785 0.1331775 0.34491204375 -0.1624177510875
-0.08 1 -0.08 -0.4904 0.11872 0.3511792 -0.1455458048
-0.07 1 -0.07 -0.49265 0.1041425 0.35673004375 -0.1282619855125
-0.0600000000000001 1 -0.0600000000000001 -0.4946 0.0894600000000001 0.3615567 -0.1106161236
-0.05 1 -0.05 -0.49625 0.0746875000000001 0.36565234375 -0.0926587109375001
-0.04 1 -0.04 -0.4976 0.0598400000000001 0.3690112 -0.0744408064000001
-0.03 1 -0.03 -0.49865 0.0449325 0.37162854375 -0.0560139413625001
-0.02 1 -0.02 -0.4994 0.02998 0.3735007 -0.0374300252
-0.01 1 -0.01 -0.49985 0.0149975 0.37462504375 -0.0187412507875
0 1 0 -0.5 -0 0.375 0
0.01 1 0.01 -0.49985 -0.0149975 0.37462504375 0.0187412507875
0.02 1 0.02 -0.4994 -0.02998 0.3735007 0.0374300252
0.03 1 0.03 -0.49865 -0.0449325 0.37162854375 0.0560139413625001
0.04 1 0.04 -0.4976 -0.0598400000000001 0.3690112 0.0744408064000001
0.05 1 0.05 -0.49625 -0.0746875000000001 0.36565234375 0.0926587109375001
0.0600000000000001 1 0.0600000000000001 -0.4946 -0.0894600000000001 0.3615567 0.1106161236
0.0700000000000001 1 0.0700000000000001 -0.49265 -0.1041425 0.35673004375 0.1282619855125
0.0800000000000001 1 0.0800000000000001 -0.4904 -0.11872 0.3511792 0.1455458048
0.0900000000000001 1 0.0900000000000001 -0.48785 -0.1331775 0.34491204375 0.1624177510875
0.1 1 0.1 -0.485 -0.1475 0.3379375 0.17882875
0.11 1 0.11 -0.48185 -0.1616725 0.33026554375 0.1947305776625
0.12 1 0.12 -0.4784 -0.17568 0.3219072 0.2100759552
0.13 1 0.13 -0.47465 -0.1895075 0.31287454375 0.2248186432375
0.14 1 0.14 -0.4706 -0.20314 0.3031807 0.2389135364
0.15 1 0.15 -0.46625 -0.2165625 0.29283984375 0.2523167578125
0.16 1 0.16 -0.4616 -0.22976 0.2818672 0.2649857536
0.17 1 0.17 -0.45665 -0.2427175 0.27027904375 0.2768793873875
0.18 1 0.18 -0.4514 -0.25542 0.2580927 0.2879580348
0.19 1 0.19 -0.44585 -0.2678525 0.24532654375 0.2981836779625
0.2 1 0.2 -0.44 -0.28 0.232 0.30752
0.21 1 0.21 -0.43385 -0.2918475 0.21813354375 0.3159324795375
0.22 1 0.22 -0.4274 -0.30338 0.2037487 0.3233884852
0.23 1 0.23 -0.42065 -0.3145825 0.18886804375 0.3298573701125
